CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;A009;A010;A010_05;A011;A011_07;A012;A012_01;A012_02;A012_03;A012_04;A012_05;A012_06;A012_07;A012_08;A012_09;A012_09a;A014;B003;B003_01;B003_02;B003_03;B003_04;B003_05;B003_06;B003_07;B003_07a;B004;B005_01;B006;B007_01;B008;B008_01;B008_02;B008_03;B008_04;B008_05;B008_06;B008_06a;B009;B009_01;B010;B015;B015_01;B015_02;B015_03;B015_04;B015_05;B015_06;B015_07;B015_08;B011;B011_03;B012;B013;B013_01;B016_CN;B016x01;B016x11;B016x12;B016x13;B016x02;B016x21;B016x22;C001;C001_01;C001_02;C001_03;C001_04;C001_05;C001_06;C001_07;C001_08;C001_08a;C001_09;C002;C002_01;C002_02;C002_03;C002_04;C002_05;C002_06;C002_07;C002_08;C002_08a;C002_09;C003;C003_01;C003_02;C003_03;C003_04;C003_05;C003_06;C003_07;C003_08;C003_09;C003_09a;C003_10;C004;C004_01;C004_02;C004_03;C004_04;C004_05;C004_05a;C004_06;C005;C005_01;C006;C006_01;C006_02;C006_03;C006_04;C006_05;C006_06;C006_07;C006_08;C006_08a;C006_09;C007_01;D008;D002;D001_01;D003;D004_01;D005_01;D006_01;D007;;;;;;;;;;;;;;;;;;;;;;;;
865;;;base;interview;31.07.2019 07:47;276;1;;3;;1;1;2;1;1;1;1;1;1;1;;9;1;1;2;1;1;1;1;1;;1;;2;questionnaire;4;2;2;2;2;1;1;;3;;3;;;;;;;;;;;;;1;Medion;;;;;;;;;4;2;1;2;2;2;1;1;1;;1;2;1;1;1;2;2;1;1;1;;1;1;1;1;1;1;1;1;1;2;1;;1;1;1;1;1;1;1;;2;2;;1;1;1;1;1;1;1;1;1;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
869;;;base;interview;31.07.2019 09:46;276;1;;1;;1;1;1;1;1;1;1;1;1;2;Analytical Chemistry;7;3;2;1;2;2;1;1;1;;2;;1;;1;1;1;1;2;1;1;;1;Archive server - fully protocolled and backuped;1;5;2;2;1;1;2;2;2;1;1;;1;2;;1;2;1;2;1;1;1;1;1;1;1;2;1;1;1;1;1;;1;4;1;2;2;2;1;2;1;1;;1;3;1;2;2;2;1;1;1;1;1;;1;1;2;1;1;1;1;;1;2;;2;2;2;1;1;1;1;1;1;;1;Metabolomics;1;1;;1;archiving servers;systematic chemioinformatic structure search;Universal data formats;2;;;;;;;;;;;;;;;;;;;;;;;;
871;;;base;interview;31.07.2019 09:56;276;1;;3;;1;1;1;1;1;1;1;1;1;2;Analytical Chemistry;1;1;1;1;2;1;1;1;1;;1;All things in the lab book, Observations I do in the daily lab work;2;Cellcounts, Microscopy work;2;2;1;2;1;1;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;2;1;2;2;1;1;1;1;1;;1;2;1;2;1;2;1;1;1;1;;1;2;1;1;2;1;1;1;2;1;1;;1;1;1;1;1;2;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;1;1;;1;University Archive;;A clear structure could be useful;2;;;;;;;;;;;;;;;;;;;;;;;;
872;;;base;interview;31.07.2019 09:59;208;1;;2;;1;1;1;1;1;1;1;1;2;1;;4;2;1;1;2;2;1;1;1;;1;I normally collect data that is displayed on devices (e.g .spectrophotometer) in a notebook/lab book and transfer it to excel/graphing software at  a later stage.;2;LC-MS peak annotation: printed spectra annotated by hand;3;2;2;2;1;1;1;;1;Archived on the group server with identifiers;2;;;;;;;;;;;;;2;;;;;;;;;;4;1;2;2;2;1;2;1;1;;1;1;1;2;1;1;1;1;1;1;;1;2;1;1;2;2;1;1;1;1;1;;1;2;2;2;1;1;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;2;-9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
874;;;base;interview;31.07.2019 10:09;276;1;;3;;1;1;1;1;1;1;1;1;1;2;Analztical Chemistry;5;3;2;1;2;2;1;1;1;;1;Data from UV-Vis I take manual and then introduce in a electronic document.;1;;1;1;1;1;2;1;1;;3;;3;;;;;;;;;;;;;2;;;;;;;;;;3;2;2;1;1;1;2;1;1;;1;2;1;1;2;2;1;1;1;1;;1;1;1;1;1;2;1;1;1;1;1;;1;1;1;1;1;1;1;;2;2;;1;1;1;1;1;1;1;1;1;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
876;;;base;interview;31.07.2019 10:21;276;1;;5;;1;1;2;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;2;Experimental data ;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
877;;;base;interview;31.07.2019 10:26;276;1;;4;;1;1;1;1;1;1;1;1;1;2;Analytical chemistry;4;1;1;1;2;1;1;1;1;;1;Masses of samples;1;;4;2;2;2;2;1;1;;1;It depends on the data and the position of the person. ;3;;;;;;;;;;;;;2;;;;;;;;;;3;2;2;1;2;1;1;1;1;;1;3;1;2;1;2;2;1;1;1;;1;1;1;1;1;2;1;1;1;1;1;;1;1;2;1;1;1;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;1;1;;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
878;;;base;interview;31.07.2019 10:28;276;1;;4;;1;2;1;1;1;1;1;1;1;1;;4;3;1;1;2;2;1;1;2;Analytical Data;1;Cell Counting using a Microscope and cell counting chamber aided with a click counter. ;1;;4;2;2;2;2;1;1;;1;Data should be uploaded onto our server and then archived when no longer needed immediately;1;4;2;2;2;1;2;1;1;1;1;;1;2;;1;2;1;2;1;1;1;1;2;1;2;1;1;2;1;1;1;;1;3;1;2;1;2;2;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;;2;1;1;1;1;2;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;1;1;;3;;Which tools/services to use for different kinds of data. ;Space available for data storage is insufficient at times. ;2;;;;;;;;;;;;;;;;;;;;;;;;
880;;;base;interview;31.07.2019 10:39;276;1;;3;;2;1;1;1;1;1;1;1;2;2;Analytical Chemistry;2;1;1;1;1;1;1;1;2;mass spectrometry data;2;;1;;1;1;1;1;2;1;1;;1;Archiving on a group server provided by the university;2;;;;;;;;;;;;;2;;;;;;;;;;4;2;2;2;1;1;1;2;1;;1;3;1;2;1;2;2;1;1;1;;1;2;1;1;1;1;1;2;2;1;1;;1;1;1;1;1;2;1;;1;1;MetaboLights;1;1;1;1;1;1;1;2;1;;1;;1;1;;2;;Designated data steward;Each individual in our group is responsible for his/her own data. No quality control is done or taught.;2;;;;;;;;;;;;;;;;;;;;;;;;
882;;;base;interview;31.07.2019 11:25;276;1;;8;;1;1;1;2;1;1;1;1;1;1;;8;3;2;2;2;1;1;1;1;;2;;3;;3;2;2;2;1;1;1;;1;Archive regularly plus safety copy;3;;;;;;;;;;;;;2;;;;;;;;;;1;1;1;1;1;1;1;1;2;see answer before;1;1;1;1;1;1;1;1;1;2;see answer before;1;1;1;1;1;1;1;1;1;1;1;;2;1;2;1;1;1;1;;1;2;;3;2;2;2;1;1;1;1;1;;1;Comparison, re-analysis, model testing;1;1;;1;university;;;2;;;;;;;;;;;;;;;;;;;;;;;;
883;;;base;interview;31.07.2019 11:36;-9;-9;;;;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
890;;;base;interview;31.07.2019 12:43;276;1;;8;;3;1;2;1;1;1;2;1;2;1;;5;4;2;2;2;1;2;1;1;;2;;1;;1;1;1;1;2;1;1;;3;;1;5;2;1;2;2;2;2;1;1;1;;5;2;;1;1;1;1;1;2;2;1;4;1;2;2;2;1;2;1;1;;1;3;1;2;2;2;1;1;1;1;;1;3;1;2;2;2;1;1;1;1;1;;1;2;2;2;1;1;1;;1;1;uniprot, pdb;3;2;2;1;2;1;1;1;1;;1;analysis of protein structures;1;1;;1;owncloud;;;2;;;;;;;;;;;;;;;;;;;;;;;;
891;;;base;interview;31.07.2019 12:44;276;1;;2;;1;1;1;1;1;1;1;1;1;2;genetics;5;2;1;1;1;2;1;1;2;sequencing data;1;count data from light microscopy observations;2;measuring concentration of nucleic acids using a spectrophotometer;2;1;1;1;2;2;1;;1;there are rules, but there is no control and no managment;1;5;2;2;2;1;2;2;1;1;1;;2;2;;1;1;1;1;1;2;1;1;3;1;2;1;2;1;1;2;1;;1;1;1;1;1;1;2;1;1;1;;1;1;1;1;1;1;1;1;1;2;1;;1;1;2;1;1;1;1;;1;1;NCBI;2;2;1;1;2;1;1;1;1;;1;I reused data to identify genes in regulatory processes;1;1;;1;NCBI SRA archive;;colleagues that leave do not handover data in an organized way;2;;;;;;;;;;;;;;;;;;;;;;;;
893;;;base;interview;31.07.2019 12:52;276;1;;3;;1;1;1;1;1;1;1;1;2;1;;3;1;2;1;1;1;1;1;1;;1;;2;dfdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
894;;;base;interview;31.07.2019 13:28;276;1;;3;;1;1;1;1;1;1;1;1;2;1;;3;1;1;1;1;2;1;1;1;;3;;3;;1;1;1;1;1;2;1;;3;;3;;;;;;;;;;;;;3;;;;;;;;;;2;2;1;1;1;1;1;1;1;;2;2;2;1;1;1;1;1;1;1;;2;2;2;1;1;1;1;1;1;1;1;;2;1;2;1;1;1;1;;1;2;;1;2;1;1;1;1;1;1;1;;1;fghfg;1;3;;3;;dfg;df;2;;;;;;;;;;;;;;;;;;;;;;;;
895;;;base;interview;31.07.2019 13:30;276;1;;3;;2;1;1;2;2;1;1;1;1;1;;3;2;2;1;2;1;1;1;1;;1;"-Mass from a scale, used to correlate with spectra for calibration
-Mass from a scale/volume from a syringe, used to define the initial mixture of a synthesis
-Temperature and pressure during a synthesis";1;;3;2;2;2;1;1;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;5;2;2;1;2;2;1;1;2;Sciebo;1;4;1;2;1;2;2;1;1;2;Sciebo;1;1;1;1;1;1;1;1;1;2;1;;1;1;1;1;1;2;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;1;1;;2;;;The annotation of my data with the parameters of the respective experiment.;2;;;;;;;;;;;;;;;;;;;;;;;;
898;;;base;interview;31.07.2019 13:41;276;2;;3;;1;1;1;1;1;1;1;1;1;2;Organometallic Chemistry;2;5;2;1;2;2;2;2;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
899;;;base;interview;31.07.2019 13:45;276;1;;3;;1;2;1;1;1;1;1;1;1;1;;1;3;2;1;2;1;2;1;1;;1;The measurements results of ESI are obtained as a print form. To secure the results, the sheet must therefore be scanned subsequently. ;1;;4;2;2;2;2;1;1;;1;oral agreement in the working group;1;2;1;2;1;2;1;1;1;1;2;;5;2;;1;2;1;2;1;1;1;1;2;1;2;1;1;1;2;1;1;;1;2;1;2;2;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;;2;1;1;2;1;1;1;;1;2;;1;1;1;1;1;1;1;1;1;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
900;;;base;interview;31.07.2019 13:47;276;1;;1;;4;2;1;2;1;2;1;2;1;1;;8;6;2;2;2;2;2;2;1;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
901;;;base;interview;31.07.2019 13:53;276;1;;8;;1;1;1;1;2;1;1;1;1;1;;4;4;2;1;2;2;2;1;1;;3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
903;;;base;interview;31.07.2019 14:00;276;1;;4;;2;1;1;2;1;2;1;1;1;1;;9;1;1;2;1;1;1;1;1;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
904;;;base;interview;31.07.2019 14:09;276;1;;2;;1;2;1;1;1;1;1;1;1;1;;9;3;2;1;2;1;2;1;1;;2;;2;Mass spectra are printed out from the staff. The analysis is then done with a pen on the paper.;1;1;1;1;2;1;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;2;2;2;1;1;1;1;1;1;;1;3;1;2;2;2;1;1;1;1;;1;2;1;1;2;2;1;1;1;1;1;;1;1;2;1;1;1;1;;1;2;;1;2;1;1;1;1;1;1;1;;1;To compare with my data.;1;1;;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
914;;;base;interview;31.07.2019 15:09;276;1;;1;;1;1;1;2;1;1;1;1;1;1;;6;1;1;1;1;2;1;1;1;;2;;1;;4;2;2;2;1;2;1;;1;custom;1;5;2;2;2;1;2;2;1;1;2;;2;1;labfolder;1;1;1;1;1;2;2;1;2;1;1;2;1;1;1;2;1;;1;4;2;1;2;2;1;2;1;1;;1;4;1;1;2;2;1;2;2;1;1;;1;3;2;2;2;1;1;;1;1;github;2;2;2;1;1;1;1;1;1;;1;;1;1;;1;RWTH it center;;;2;;;;;;;;;;;;;;;;;;;;;;;;
915;;;base;interview;31.07.2019 15:17;276;1;;2;;1;1;1;2;1;1;1;1;1;1;;4;6;2;2;2;2;2;1;2;Pictures, Visually observed information (e.g. phase transition temperatures), DSC, BET;1;"Information which is asigned to pictures, i.e. temperature, magnification, state of polarizers, poissbly information about an applied external electric or magnetic field...
Phase transition temperatures
Gel points
CMCs, CMTs";2;"Phase transition temperatures and concentrations, e.g. to establish a phase diagram
If only a print out of the measurment exists (mainly for measurments done outside of the current group): type data into computer for further processing";4;2;2;2;1;1;2;Only data which is deemed to be essential is stored, because otherwise the amount of data would become too big;2;;2;;;;;;;;;;;;;2;;;;;;;;;;2;1;2;1;2;1;1;1;1;;1;3;1;2;1;2;2;1;1;1;;1;3;1;1;2;2;2;1;1;1;1;;1;1;2;1;1;1;1;;1;2;;4;2;2;1;1;2;1;1;2;Published data was found to be wrong;1;To compare with one own's data or as a starting point for deeper investigation on the same system;1;1;;2;;An ELN which is optimized for the kind of research I do and a tablet pc for everyone who works in the lab;Too much and too divers data to be arranged and labeld so that everyone can understand;2;;;;;;;;;;;;;;;;;;;;;;;;
919;;;base;interview;31.07.2019 17:17;276;1;;8;;1;1;1;1;1;1;1;1;1;2;Technical Chemistry, Catalysis;3;3;1;2;1;1;1;2;2;Chromatography data;2;;1;;4;2;2;2;2;1;1;;3;;1;1;1;1;1;1;1;1;2;1;2;;3;2;;1;1;1;1;1;2;2;1;5;2;2;2;1;1;2;2;1;;1;4;1;2;2;2;1;2;1;1;;1;4;1;1;2;2;1;2;2;1;1;;1;2;2;2;1;1;1;;1;2;;2;2;1;2;1;1;1;1;1;;1;Publication ;1;3;;1;University;Good searchable databases with a good API;Source code as SI;2;;;;;;;;;;;;;;;;;;;;;;;;
920;;;base;interview;31.07.2019 18:05;276;1;;1;;1;2;1;1;1;1;1;1;1;1;;8;3;2;1;2;1;2;1;1;;1;data associated with diffraction experiments but difficult to be detected by a machine, such as crystal shape, dimensions, colour, sensitivity...;1;;3;2;2;2;1;1;1;;1;"in the group: individual responsibilty for analyzed data, all raw data; external users: no long-term data storage done by us";1;4;2;1;2;2;2;1;1;1;3;mixture of manual and automatic assignment;2;2;;2;2;2;2;1;1;1;1;3;2;1;1;2;1;1;2;1;;1;3;1;2;1;1;1;2;1;2;gigamove;1;3;1;2;1;1;1;2;1;1;2;gigamove;1;2;2;1;1;1;2;as private communication to a data repository;1;1;ICSD, CSD;4;2;2;2;2;1;1;1;1;;1;comparison in publications, control experiments, teaching, patent issues;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
922;;;base;interview;31.07.2019 20:23;-9;-9;;;;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
931;;;base;interview;01.08.2019 10:40;-9;-9;;;;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
934;;;base;interview;01.08.2019 12:26;276;1;;3;;1;2;1;1;1;1;1;1;1;1;;2;4;2;1;2;1;2;2;1;;2;;2;ESI-MS spectra are only provided on paper;2;1;1;1;2;2;1;;1;Rules on which data typ should be archived and how to name the data;1;4;1;2;1;1;2;2;2;1;1;;1;1;labfolder;1;2;1;2;1;1;1;1;1;1;2;1;1;1;1;1;1;;1;3;1;2;2;2;1;1;1;1;;1;3;1;1;2;2;1;1;2;1;1;;1;1;1;1;1;2;1;;1;2;;2;2;1;2;1;1;1;1;1;;1;resynthesis of substance and as reference;1;1;;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
935;;;base;interview;01.08.2019 15:02;276;2;;8;;1;1;1;1;2;1;1;1;1;1;;5;2;1;2;2;1;1;1;1;;2;;1;;2;2;1;2;1;1;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;2;1;1;2;2;1;1;1;1;;1;2;1;2;1;1;2;1;1;1;;1;1;1;1;2;1;1;1;1;1;1;;1;1;1;1;1;2;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
936;;;base;interview;01.08.2019 15:29;276;1;;1;;1;2;1;1;1;1;1;1;1;1;;8;7;2;2;2;2;2;2;2;Magnetic measurement data;1;"Description of chemical sythesis and related observations.
Data derived from manual analysis of spectra and other physical measurements.";3;;1;1;1;1;2;1;1;;2;;1;4;2;2;1;1;2;2;1;1;1;;1;2;;1;2;1;2;1;1;1;1;3;2;2;2;1;1;1;1;1;;1;2;1;2;1;2;1;1;1;1;;1;2;1;2;1;2;1;1;1;1;1;;1;1;2;1;1;1;1;;1;2;;2;1;2;2;1;1;1;1;1;;1;evaluate reference structures;2;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
937;;;base;interview;01.08.2019 16:07;276;1;;2;;1;1;2;1;1;1;1;1;1;1;;4;1;2;1;1;1;1;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
940;;;base;interview;02.08.2019 08:51;276;1;;3;;1;1;1;1;1;1;1;1;1;2;Technical Chemistry;1;2;2;1;2;1;1;1;1;;1;observations, weights;2;weighting of components, data is written down on paper and later filled in excel;1;1;1;1;2;1;1;;2;;1;3;2;2;1;1;2;1;1;1;1;;1;1;my own excel sheets;1;1;1;1;1;2;2;1;2;2;2;1;1;1;1;1;1;;1;3;1;2;1;2;2;1;1;1;;1;1;1;1;1;1;1;1;1;2;1;;1;1;2;1;1;1;1;;1;2;;1;2;1;1;1;1;1;1;1;;1;compare with own results;1;3;;2;;software, which simplifies the process of recording, analysing and saving data ;acessibility of collegues data;2;;;;;;;;;;;;;;;;;;;;;;;;
942;;;base;interview;02.08.2019 09:52;276;1;;3;;1;2;1;1;1;1;1;1;1;1;;3;4;2;2;2;1;2;1;1;;1;Calculations for different forms of data is done manually. For example CV, structure parameters for crystal structures. Temperatures from different set ups ...;2;draw different molecular fragments, calculate their mass, try to identify peaks of your ESI-MS print version;1;1;1;1;2;1;1;;1;But they are not practical;3;;;;;;;;;;;;;2;;;;;;;;;;1;1;1;1;1;1;1;1;1;;2;1;1;2;1;1;1;1;1;1;;1;1;1;1;1;2;1;1;1;1;1;;1;1;1;1;1;2;1;;1;1;CSD Database SDBS Database;2;2;2;1;1;1;1;1;1;;1;;1;1;Only Cloud base data is save;2;;Help of computer science experts for better interfaces and trust of researchers and group leaders for new technologys and commercial programms;A real data management advantageous by digitalisation, no self made solutions, better interfaces to share, compare data by different group and programms.;2;;;;;;;;;;;;;;;;;;;;;;;;
944;;;base;interview;02.08.2019 11:30;276;1;;8;;1;2;1;1;1;1;1;1;1;1;;7;6;2;2;2;1;2;2;2;magnetic characterisation;1;Weightings of sample and sample holder in the preperation steps for magnetic measurements. Handling of sample in perparation steps for measurements (grinding, handling in glovebox, special sample holder, ...) for different techniques;1;;2;1;1;1;2;2;1;;1;repositories for raw data, processed data stored in project folder in repository;1;4;1;1;2;2;2;1;2;1;3;both - dependent on data;1;2;;1;2;1;2;1;1;1;1;4;2;2;2;1;1;2;1;1;;1;3;1;2;2;2;1;1;1;1;;1;3;1;1;2;2;1;1;2;1;1;;1;1;2;1;1;1;1;;1;2;;3;2;2;2;1;1;1;1;1;;1;comparing results with new data, reanalysing data with new model;1;1;;1;archive on university computer center, svn-server, cloud-Service;;Keeping different version of analysied data;1;;;;;;;;;;;;;;;;;;;;;;;;
945;;;base;interview;02.08.2019 13:34;276;1;;3;;2;2;2;1;1;1;1;1;1;1;;3;3;2;1;2;1;2;1;1;;3;;2;mass-spectra are analyzed on printouts (assignment of fragment ions and relative intensity);1;1;1;1;2;1;1;;2;;1;4;1;2;2;1;2;2;1;1;3;through software/devices and manually;2;2;;1;1;1;1;1;2;2;1;3;2;2;1;2;1;1;1;1;;1;3;1;2;1;2;2;1;1;1;;1;2;1;1;1;2;1;1;2;1;1;;1;1;2;1;1;1;1;;1;1;Cambridge Crystallographic Data Centre;3;2;2;2;1;1;1;1;1;;1;comparison with own experimental data;1;3;;2;;A unified system to exchange data within a workgroup/project;;2;;;;;;;;;;;;;;;;;;;;;;;;
947;;;base;interview;02.08.2019 13:59;276;1;;4;;1;1;1;1;1;1;1;1;1;2;Electrochemistry;4;2;1;1;1;2;1;2;1;;1;The pH of the solution;1;;2;2;1;2;1;1;1;;3;;2;;;;;;;;;;;;;1;eLabFTW;;;;;;;;;2;2;2;1;1;1;1;1;1;;1;2;1;2;1;2;1;1;1;1;;1;1;1;1;1;1;1;1;1;2;1;;1;1;1;1;1;2;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;1;1;;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
950;;;base;interview;02.08.2019 15:47;-9;-9;;;;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
951;;;base;interview;02.08.2019 17:54;276;1;;8;;1;1;2;1;1;1;1;1;1;1;;5;1;1;1;2;1;1;1;1;;2;;2;Not specifically data analysis: Analysis request forms are on paper and the information on it is not resuable.;1;1;1;1;2;1;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
952;;;base;interview;03.08.2019 10:15;276;1;;3;;1;1;1;1;1;1;1;2;1;1;;2;2;2;1;1;2;1;1;1;;2;;2;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
955;;;base;interview;05.08.2019 06:31;276;2;;2;;1;1;1;1;1;1;1;1;1;2;Organic Environmental Chemistry;6;1;1;1;1;1;1;1;2;Mass spectrometry;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
956;;;base;interview;05.08.2019 07:41;-9;-9;;;;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
957;;;base;interview;05.08.2019 07:42;276;1;;3;;1;1;1;1;2;1;1;1;1;1;;3;2;2;1;1;1;1;1;2;Catalytic data;3;;1;;2;2;1;2;1;1;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;4;2;2;1;2;1;2;1;1;;1;1;1;2;1;1;1;1;1;1;;1;1;1;1;2;1;1;1;1;1;1;;1;1;1;1;1;2;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;1;3;;1;Service catalog of TU Dresden;;Collaborative work;2;;;;;;;;;;;;;;;;;;;;;;;;
960;;;base;interview;05.08.2019 10:01;276;1;;8;;1;2;1;1;1;1;1;1;1;1;;8;3;2;1;2;1;2;1;1;;3;;3;;4;2;2;2;2;1;1;;3;;3;;;;;;;;;;;;;2;;;;;;;;;;2;1;2;2;1;1;1;1;1;;1;2;1;2;1;2;1;1;1;1;;1;1;1;1;1;2;1;1;1;1;1;;1;3;2;2;2;1;1;;1;1;CCDC;1;1;1;1;1;1;1;2;1;;1;;1;1;;1;IT center of RWTH AachenUniversity;;;1;;;;;;;;;;;;;;;;;;;;;;;;
965;;;base;interview;05.08.2019 10:29;276;1;;3;;1;1;1;2;1;1;1;1;1;1;;9;2;1;2;2;1;1;1;1;;2;;1;;4;2;2;2;2;1;1;;1;Storage place;1;4;1;1;2;1;2;2;2;1;1;;1;2;;1;2;1;2;1;1;1;1;2;1;1;2;2;1;1;1;1;;1;3;1;2;1;2;2;1;1;1;;1;3;1;2;1;2;1;1;2;1;1;;1;1;2;1;1;1;1;;1;2;;3;2;2;2;1;1;1;1;1;;1;;1;1;;2;;spectroscopic database;;2;;;;;;;;;;;;;;;;;;;;;;;;
966;;;base;interview;05.08.2019 10:43;276;1;;8;;1;1;1;2;1;1;1;1;1;1;;8;3;1;2;2;1;1;1;2;Thermophysical data;1;VLE, LLE, partially automated devices, partially semi-automated data acquisition;2;Data selction, data handling;4;2;2;2;2;1;1;;1;strict structure guidelines;2;;;;;;;;;;;;;2;;;;;;;;;;3;1;2;2;2;1;1;1;1;;1;1;1;2;1;1;1;1;1;1;;1;2;1;2;1;1;1;1;2;1;1;;1;1;2;1;1;1;1;;1;2;;2;1;2;2;1;1;1;1;1;;1;re-analysis;1;1;;2;;data base handling , data mining;larer basis for exchange urgently needed;2;;;;;;;;;;;;;;;;;;;;;;;;
